X,Y,OBJECTID,GLOBAL_ID,NAME,LATITUDE,LONGITUDE,CITY,STATE,STATUS_CODE,OPENING_ON
-80.006158333,40.44705,1,99F1123D-61D0-4825-B647-0A41201B7685,PNC Park,40-26-49.38N,080-00-22.17W,Pittsburgh,PA,Open,
-74.074391667,40.8135361110001,2,394CEFD3-4F13-47AC-BFFD-F591CDC73D1B,MetLife Stadium,40-48-48.73N,074-04-27.81W,East Rutherford,NJ,Open,
-104.994138889,39.7563500000001,3,A8A10A7F-F070-4601-BA8B-F2EA238206B5,Coors Field,39-45-22.86N,104-59-38.90W,Denver,CO,Open,
-117.882708333,33.800308333,4,30829B54-B4CE-471F-B022-E06FDC34C686,Angel Stadium of Anaheim,33-48-01.11N,117-52-57.75W,Anaheim,CA,Open,
-89.5341888889999,34.361977778,5,80508D53-9617-4CD1-8A71-D4BD1543C985,Vaught-Hemingway Stadium,34-21-43.12N,089-32-03.08W,Oxford,MS,Open,
-82.257075,36.5156305560001,6,41667551-01FD-40B0-9BA2-0FFAA1651571,Bristol Motor Speedway,36-30-56.27N,082-15-25.47W,Bristol,TN,Open,
-92.041708333,30.215858333,7,4466D317-FBC1-4694-9769-9A4B542467A7,Cajun Field,30-12-57.09N,092-02-30.15W,Lafayette,LA,Open,
-90.116702778,29.944611111,8,B926C06D-494C-428F-A439-735A6BD1D693,Yulman Stadium,29-56-40.60N,090-07-00.13W,New Orleans,LA,Open,
-80.418058333,37.2199555560001,9,E2FA2A35-1C05-4082-BBCF-2AB9ACC42D1E,Lane Stadium,37-13-11.84N,080-25-05.01W,Blacksburg,VA,Open,
-76.947108333,38.9901694440001,10,FEF4B16C-F74A-45C9-B34E-92E6B51697D2,SECU Stadium,38-59-24.61N,076-56-49.59W,College Park,MD,Open,
-122.456158333,38.1626277780001,11,98963F56-E106-411F-918D-4FB0CB94456B,Sonoma Raceway,38-09-45.46N,122-27-22.17W,Sonoma,CA,Open,
-119.758080556,36.8144222220001,12,D0C392E7-8C41-4505-A38F-1255412F2D7C,Valley Children's Stadium,36-48-51.92N,119-45-29.09W,Fresno,CA,Open,
-76.136291667,43.036233333,13,459ABC61-8208-46BD-9744-483C1D2A9ADF,JMA Wireless Dome,43-02-10.44N,076-08-10.65W,Syracuse,NY,Open,
-71.460658333,43.362797222,14,AD568B27-C4BE-4289-81D3-2B24B73DEC80,New Hampshire Motor Speedway,43-21-46.07N,071-27-38.37W,Loudon,NH,Open,
-83.748744444,42.265872222,15,981EE6A4-101B-40C8-B367-5103B01EE59E,Michigan Stadium,42-15-57.14N,083-44-55.48W,Ann Arbor,MI,Open,
-80.2545499999999,36.1305583330001,16,89B468F5-58B3-4CDB-8AA4-FAEDC3DD8345,Allegacy Federal Credit Union Stadium,36-07-50.01N,080-15-16.38W,Winston-Salem,NC,Open,
-97.159219444,33.203927778,17,E0089F35-AE24-420A-902A-3ABB6E9C0E66,DATCU Stadium,33-12-14.14N,097-09-33.19W,Denton,TX,Open,
-85.601019444,42.2857500000001,18,039D5552-DD9D-463B-905A-31BF19A1FD0C,Stafford-Smith Field at Waldo Stadium,42-17-08.70N,085-36-03.67W,Kalamazoo,MI,Open,
-80.408558333,25.4521583330001,19,BFE9A98C-61C0-44EB-BCF7-73BC38A02222,Homestead-Miami Speedway,25-27-07.77N,080-24-30.81W,Homestead,FL,Open,
-82.5033,27.975927778,20,1418EA7A-C0A2-4796-9B1D-C7010ED93A5E,Raymond James Stadium,27-58-33.34N,082-30-11.88W,Tampa,FL,Open,
-89.412669444,43.0699277780001,21,F7564EFF-35BA-4072-89C3-E9AF3DC4734E,Camp Randall Stadium,43-04-11.74N,089-24-45.61W,Madison,WI,Open,
-75.166469444,39.906177778,22,05AE4D1F-6A26-4789-98AE-BE048399B624,Citizens Bank Park,39-54-22.24N,075-09-59.29W,Philadelphia,PA,Open,
-85.951836111,31.799583333,23,A15E3F30-E82F-4704-A796-8A5CF9673082,Veterans Memorial Stadium,31-47-58.50N,085-57-06.61W,Troy,AL,Open,
-105.020147222,39.743911111,24,F8A2BABF-C24F-4704-BFB3-572DF5216E14,Empower Field at Mile High,39-44-38.08N,105-01-12.53W,Denver,CO,Open,
-71.1664388889999,42.3351166670001,25,50B8461F-A859-493C-924D-A0018FF2EB12,Alumni Stadium,42-20-06.42N,071-09-59.18W,Chestnut Hill,MA,Open,
-86.163536111,39.7600583330001,26,D5383551-A180-43AC-AE7E-85C06C5FC729,Lucas Oil Stadium,39-45-36.21N,086-09-48.73W,Indianapolis,IN,Open,
-87.655647222,41.9480583330001,27,ACD0B252-EB3D-4113-9452-8F38930894A3,Wrigley Field,41-56-53.01N,087-39-20.33W,Chicago,IL,Open,
-91.5511083329999,41.6586500000001,28,5B9CAA1D-8568-47FB-BA69-CD266FB3EA22,Kinnick Stadium,41-39-31.14N,091-33-03.99W,Iowa City,IA,Open,
-87.5504583329999,33.2076388890001,29,C7AB2D68-7D50-4FE0-A5E6-E54A9CD83E51,Saban Field at Bryant-Denny Stadium,33-12-27.50N,087-33-01.65W,Tuscaloosa,AL,Open,
-81.5083888889999,41.0726000000001,30,67812E40-9635-4DDF-8B44-7DA57B5AB622,InfoCision Stadium/Summa Field,41-04-21.36N,081-30-30.20W,Akron,OH,Open,
-95.3491999999999,29.722,31,6110219F-5FBB-49B0-96AE-8BCC31E526C0,Space City Financial Stadium,29-43-19.20N,095-20-57.12W,Houston,TX,Open,
-86.9184194439999,40.434427778,32,959870FA-BF2F-4AB6-B729-47F1AABFEC30,Rohrman Field at Ross-Ade Stadium,40-26-03.94N,086-55-06.31W,West Lafayette,IN,Open,
-97.093027778,32.747797222,33,E98AA425-2DDB-4BCA-AF0B-700F9272757E,AT&T Stadium,32-44-52.07N,097-05-34.90W,Arlington,TX,Open,
-115.0167,36.0862500000001,34,2EAB91A1-76F3-48C9-AE8D-E4FD0956BF40,Sam Boyd Stadium,36-05-10.50N,115-01-00.12W,Las Vegas,NV,Open,
-76.864461111,38.9076666670001,35,B98F0491-FF91-425D-8AEA-E49A4CD84D07,Northwest Stadium,38-54-27.60N,076-51-52.06W,Landover,MD,Open,
-84.484869444,42.7281694440001,36,A3F8ADB4-B176-4C0B-B00D-7CFC01E95546,Spartan Stadium (Michigan),42-43-41.41N,084-29-05.53W,East Lansing,MI,Open,
-106.628269444,35.0669583330001,37,942C1597-475F-4F69-9F39-0B402356EB3C,Branch Field at University Stadium,35-04-01.05N,106-37-41.77W,Albuquerque,NM,Open,
-106.507888889,31.7733388890001,38,8A8F5ED5-0047-46A1-A436-23C51AC387E5,Sun Bowl Stadium,31-46-24.02N,106-30-28.40W,El Paso,TX,Open,
-116.195858333,43.6028277780001,39,9B338B88-6867-4F96-BD90-27843C7362C8,Albertsons Stadium,43-36-10.18N,116-11-45.09W,Boise,ID,Open,
-79.85175,36.634161111,40,5CA833FA-B9E5-46AA-A3D8-9086D1D0F48F,Martinsville Speedway,36-38-02.98N,079-51-06.30W,Ridgeway,VA,Open,
-93.2777694439999,44.98175,41,2441C7C2-A57E-49B0-91B2-B29411265C08,Target Field,44-58-54.30N,093-16-39.97W,Minneapolis,MN,Open,
-79.955077778,39.6502083330001,42,9DFF855E-0A82-4FBE-A938-54C6C379729F,Mountaineer Field at Milan Puskar Stadium,39-39-00.75N,079-57-18.28W,Morgantown,WV,Open,
-80.238852778,25.957936111,43,64370F67-5C79-4457-B622-79806E0F21E7,Hard Rock Stadium,25-57-28.57N,080-14-19.87W,Miami Gardens,FL,Open,
-122.200619444,37.751608333,44,8838D2A7-493E-4E5F-A3A8-8601B116F65B,Oakland-Alameda County Coliseum,37-45-05.79N,122-12-02.23W,Oakland,CA,Open,
-76.6215583329999,39.2839500000001,45,CADFC1BB-667C-4157-BADB-21BA43488F97,Oriole Park at Camden Yards,39-17-02.22N,076-37-17.61W,Baltimore,MD,Open,
-95.4109194439999,29.684927778,46,153ACF16-2333-41AD-94BA-E45398076B25,NRG Stadium,29-41-05.74N,095-24-39.31W,Houston,TX,Open,
-71.097708333,42.346219444,47,83C31208-8589-47A9-A398-722FB798BCCA,Fenway Park,42-20-46.39N,071-05-51.75W,Boston,MA,Open,
-88.062216667,44.501277778,48,3F7AAC2B-F601-4820-B155-3055B219665C,Lambeau Field,44-30-04.60N,088-03-43.98W,Green Bay,WI,Open,
-88.059252778,41.474277778,49,23922AA1-8E2A-4EA8-99E5-FF85DAD47790,Chicagoland Speedway,41-28-27.40N,088-03-33.31W,Joliet,IL,Open,
-117.160458333,46.7318194440001,50,323B16CD-2059-431D-911E-4D9B8073A0CE,Martin Stadium,46-43-54.55N,117-09-37.65W,Pullman,WA,Open,
-123.068502778,44.0582666670001,51,9F1A0456-C733-4B52-A9FF-CA5AA095D7F6,Autzen Stadium,44-03-29.76N,123-04-06.61W,Eugene,OR,Open,
-76.6227,39.2779,52,67516F22-D531-439E-8399-8D93F0E304AD,M&T Bank Stadium,39-16-40.44N,076-37-21.72W,Baltimore,MD,Open,
-105.568269444,41.3117,53,6BB176CA-EE62-4F68-9D6E-D6D7AFC7B3AF,War Memorial Stadium (Wyoming),41-18-42.12N,105-34-05.77W,Laramie,WY,Open,
-96.593838889,39.2020000000001,54,5CA52C19-3541-4ABC-905E-7D0D500FA21F,Bill Snyder Family Stadium,39-12-07.20N,096-35-37.82W,Manhattan,KS,Open,
-79.906027778,34.29535,55,7D30C29A-6DED-4F36-8038-321CF182FEE1,Darlington Raceway,34-17-43.26N,079-54-21.70W,Darlington,SC,Open,
-83.924977778,35.9549777780001,56,6BA2B463-29A6-4986-BCA6-BE2127BDEDE2,Neyland Stadium,35-57-17.92N,083-55-29.92W,Knoxville,TN,Open,
-93.257405556,44.973533333,57,0F2A926B-0A27-4381-A60D-C03DAAD768C7,US Bank Stadium,44-58-24.72N,093-15-26.66W,Minneapolis,MN,Open,
-80.6822083329999,35.3514083330001,58,933628C4-9045-4CE5-9A83-667428F597CB,Charlotte Motor Speedway,35-21-05.07N,080-40-55.95W,Concord,NC,Open,
-97.732533333,30.283655556,59,C83DB815-C04D-4E36-BE01-38FE03FF06E7,Darrell K. Royal-Texas Memorial Stadium,30-17-01.16N,097-43-57.12W,Austin,TX,Open,
-117.157038889,32.7075694440001,60,1336CB93-E618-4BCE-B22A-73AB285A3F4B,PETCO Park,32-42-27.25N,117-09-25.34W,San Diego,CA,Open,
-111.848808333,40.759958333,61,C635F526-A097-4080-AF1E-D4D0FA8793B5,Rice-Eccles Stadium,40-45-35.85N,111-50-55.71W,Salt Lake City,UT,Open,
-86.368138889,35.851138889,62,1AC181C2-4DCD-420A-90A1-485030EDD52B,"Johnny ""Red"" Floyd Stadium",35-51-04.10N,086-22-05.30W,Murfreesboro,TN,Open,
-82.843177778,34.6787277780001,63,E29B9D3F-BCF4-485E-8DBD-2DA8C92E16C1,Memorial Stadium (South Carolina),34-40-43.42N,082-50-35.44W,Clemson,SC,Open,
-82.3486055559999,29.649908333,64,3388A2F7-55EC-461D-96E2-6E18D3E93DDC,Ben Hill Griffin Stadium,29-38-59.67N,082-20-54.98W,Gainesville,FL,Open,
-157.929969444,21.3728194440001,65,9B5A5C35-0610-4025-8A8A-8346D98C2E01,Aloha Stadium,21-22-22.15N,157-55-47.89W,Honolulu,HI,Open,
-84.240836111,42.064666667,66,2A0E6E94-C576-4A8F-923C-7BBE17BFF1DB,Michigan International Speedway,42-03-52.80N,084-14-27.01W,Brooklyn,MI,Open,
-97.115675,31.5581777780001,67,4045B1B5-DECD-4F3A-89B6-2FE9362A3F59,McLane Stadium,31-33-29.44N,097-06-56.43W,Waco,TX,Open,
-73.964127778,41.387538889,68,C1C05227-02BB-41EA-B02D-41F7898C138D,Michie Stadium,41-23-15.14N,073-57-50.86W,West Point,NY,Open,
-96.7827694439999,32.837738889,69,E40D87C9-1890-4278-8501-3B8D9F3C5948,Gerald J. Ford Stadium,32-50-15.86N,096-46-57.97W,Dallas,TX,Open,
-86.06645,33.5692583330001,70,FE789F06-888C-4BB3-8DAE-2E68831A340A,Talladega Superspeedway,33-34-09.33N,086-03-59.22W,Talladega,AL,Open,
-83.3733861109999,33.949802778,71,937B1E1E-CCA6-49E8-993F-37AA08C336F2,Sanford Stadium,33-56-59.29N,083-22-24.19W,Athens,GA,Open,
-87.971177778,43.028119444,72,65F0F689-EF04-4D22-BDC9-F425AD5ABC9D,American Family Field,43-01-41.23N,087-58-16.24W,Milwaukee,WI,Open,
-78.786955556,42.7737527780001,73,F7859AFE-C202-453C-A099-52A547EAD4B4,Highmark Stadium,42-46-25.51N,078-47-13.04W,Orchard Park,NY,Open,
-105.2669,40.009469444,74,6FF2C133-48B4-4465-8505-CDCD42BD5C4A,Folsom Field,40-00-34.09N,105-16-00.84W,Boulder,CO,Open,
-80.015738889,40.446727778,75,D3A0EF6E-7337-4145-9E50-8E0EEDBE3D48,Acrisure Stadium,40-26-48.22N,080-00-56.66W,Pittsburgh,PA,Open,
-84.3043888889999,30.438169444,76,DF6DE397-6C25-4DDF-9977-8E580F180FF5,Bobby Bowden Field at Doak Campbell Stadium,30-26-17.41N,084-18-15.80W,Tallahassee,FL,Open,
-112.0668,33.4452694440001,77,A42D8C4F-0BA5-4855-A33A-8DB539DF4537,Chase Field,33-26-42.97N,112-04-00.48W,Phoenix,AZ,Open,
-95.4093194439999,29.716327778,78,D037C1D1-81DB-4501-97B5-3728163902C0,Rice Stadium,29-42-58.78N,095-24-33.55W,Houston,TX,Open,
-83.647377778,42.255919444,79,F3CF86AC-2345-4AD4-944A-E03E591BE86F,Rynearson Stadium,42-15-21.31N,083-38-50.56W,Ypsilanti,MI,Open,
-89.977408333,35.1210888890001,80,08186652-A40F-408F-A239-B0378D2FD428,Simmons Bank Liberty Stadium,35-07-15.92N,089-58-38.67W,Memphis,TN,Open,
-92.065988889,32.5309194440001,81,B322CB57-2928-40D2-B061-DC8008A7400D,Malone Stadium,32-31-51.31N,092-03-57.56W,Monroe,LA,Open,
-86.8426499999999,33.5114888890001,82,9AA0001C-017D-46A6-B447-D202291D31B0,Legion Field,33-30-41.36N,086-50-33.54W,Birmingham,AL,Open,
-84.506458333,39.097208333,83,801D132A-84A3-4B21-A941-4F24CA9E999B,Great American Ball Park,39-05-49.95N,084-30-23.25W,Cincinnati,OH,Open,
-89.331227778,31.3289694440001,84,47F2F46A-DE0D-4ED5-91BD-C7A5FB5589AC,M.M. Roberts Stadium,31-19-44.29N,089-19-52.42W,Hattiesburg,MS,Open,
-75.5131888889999,41.0556777780001,85,0746EE43-7E6C-4B27-8354-ADE475868390,Pocono Raceway,41-03-20.44N,075-30-47.48W,Long Pond,PA,Open,
-90.193058333,38.622577778,86,C3DB3E34-8396-452D-A432-A19F68985AEE,Busch Stadium,38-37-21.28N,090-11-35.01W,Saint Louis,MO,Open,
-94.83095,39.115788889,87,3E082A42-251C-43FA-8EC4-EAC3E0A8D5B7,Kansas Speedway,39-06-56.84N,094-49-51.42W,Kansas City,KS,Open,
-94.480427778,39.0516388890001,88,BD32E7D9-7F32-4B3A-B450-35C14104A0C2,Kauffman Stadium,39-03-05.90N,094-28-49.54W,Kansas City,MO,Open,
-94.484008333,39.0489138890001,89,18620993-97E9-49AA-AD35-C4A9C0940FC4,GEHA Field at Arrowhead Stadium,39-02-56.09N,094-29-02.43W,Kansas City,MO,Open,
-75.1674277779999,39.9007777780001,90,EA212E33-9467-4392-9095-CEE03AA93F33,Lincoln Financial Field,39-54-02.80N,075-10-02.74W,Philadelphia,PA,Open,
-98.478980556,29.4169000000001,91,8DE854BF-EA31-4EA9-AB80-277B72EEDFF4,Alamodome,29-25-00.84N,098-28-44.33W,San Antonio,TX,Open,
-121.97,37.4030000000001,92,5E8AC746-18BF-4365-B995-C4FDB798C5E3,Levi's Stadium,37-24-10.80N,121-58-12.00W,Santa Clara,CA,Open,
-83.045638889,42.3400472220001,93,3C02D74A-CFD6-4F74-B826-4C3E517EDCD2,Ford Field,42-20-24.17N,083-02-44.30W,Detroit,MI,Open,
-122.161108333,37.4345000000001,94,11304B04-D8EC-415B-8037-22BCE76569FD,Stanford Stadium,37-26-04.20N,122-09-39.99W,Stanford,CA,Open,
-122.331561111,47.5951694440001,95,A6F44A6F-C603-42B7-9D84-1CAC9600F859,Lumen Field,47-35-42.61N,122-19-53.62W,Seattle,WA,Open,
-90.6672,35.8489277780001,96,2633509B-C726-424A-A1E6-518704B1F3E0,Centennial Bank Stadium,35-50-56.14N,090-40-01.92W,Jonesboro,AR,Open,
-80.219527778,25.7780888890001,97,2A79083C-E4DD-412E-A6A8-CEA22B568452,loanDepot Park,25-46-41.12N,080-13-10.30W,Miami,FL,Open,
-123.281408333,44.5595083330001,98,A8F5A051-DEE8-48EA-815B-4235CF2B4873,Reser Stadium,44-33-34.23N,123-16-53.07W,Corvallis,OR,Open,
-75.5305083329999,39.1898944440001,99,7F24740C-1CFE-4A52-BF2B-87ED013C3E6F,Dover Motor Speedway,39-11-23.62N,075-31-49.83W,Dover,DE,Open,
-92.333188889,38.9358500000001,100,7FB96937-D770-49F7-AE64-25E05E3FED6D,Faurot Field at Memorial Stadium,38-56-09.06N,092-19-59.48W,Columbia,MO,Open,
-84.516177778,39.1312083330001,101,F78A7D55-B476-41AA-831C-BB5C1D2A09DF,Nippert Stadium,39-07-52.35N,084-30-58.24W,Cincinnati,OH,Open,
-71.2643555559999,42.090913889,102,EDE7A8EC-8654-477C-9A6C-59E0F9255321,Gillette Stadium,42-05-27.29N,071-15-51.68W,Foxboro,MA,Open,
-91.1838,30.412027778,103,7FBACFA2-DBB3-4504-B030-BF16D2125621,Tiger Stadium,30-24-43.30N,091-11-01.68W,Baton Rouge,LA,Open,
-78.719469444,35.800769444,104,8EA46F18-06DF-4CC0-9F78-A67C138D728A,Carter-Finley Stadium,35-48-02.77N,078-43-10.09W,Raleigh,NC,Open,
-97.282227778,33.03655,105,26811BB1-6AD4-4C58-8927-C929E0970483,Texas Motor Speedway,33-02-11.58N,097-16-56.02W,Fort Worth,TX,Open,
-122.389691667,37.7783972220001,106,27ED65A8-DF97-42B0-ACA1-064E6AF30D36,Oracle Park,37-46-42.23N,122-23-22.89W,San Francisco,CA,Open,
-81.0191694439999,33.9730888890001,107,7D58FE0C-83B5-4860-8EAA-34D90CEA5824,Williams Brice Stadium,33-58-23.12N,081-01-09.01W,Columbia,SC,Open,
-105.088469444,40.5699000000001,108,A18E6B61-CD5D-44A2-BE6B-D1195A8A2308,Canvas Stadium,40-34-11.64N,105-05-18.49W,Fort Collins,CO,Open,
-97.3681,32.7096500000001,109,9313F1CA-71FF-4260-87F0-1BF860BE2252,Amon G. Carter Stadium,32-42-34.74N,097-22-05.16W,Fort Worth,TX,Open,
